Trial,Rule,Result,Probability,PC1,PC2,PC3,Site,Excluded
46,13,Sand,0.593,'> -0.385,'0.101 < x <= 0.284,'<= 0.059,G,"A, B, C, D, E, F, H, I, J, K, L"
46,14,Sand,0.552,'<= -0.656,'<= 0.523,'> -0.171,G,"A, B, C, D, E, F, H, I, J, K, L"
46,15,Sand,0.519,"","",'> -0.171,Any,None
46,16,Reef,0.993,'<= -0.385,"","",J,"A, B, C, D, E, F, G, H, I, K, L"
46,17,Reef,0.894,"",'> 0.284,'<= 0.059,"E, F, H, J, L","A, B, C, D, G, I, K"
46,18,Reef,0.881,'<= 1.675,'-0.45 < x <= 0.101,'<= 0.015,"A, C, D, E, F, G, H, I","B, J, K, L"
46,19,Reef,0.88,'<= 1.839,'> 0.298,"",K,"A, B, C, D, E, F, G, H, I, J, L"
46,20,Reef,0.8670000000000001,'<= -2.06,"","","A, B, C, D, E, F, H, I, J, K, L",G
46,21,Reef,0.8550000000000001,'1.839 < x <= 3.052,'-0.059 < x <= 0.137,'<= 0.09,"A, B, C, D, E, F, G, H, J, K, L",I
46,22,Reef,0.8460000000000001,'-0.385 < x <= 1.839,'> 0.415,"","B, D, E, F, G, H, I, J, K, L","A, C"
46,23,Reef,0.7859999999999999,'<= -0.385,'> 0.216,"","A, B, C, D, E, F, H, I, J, K, L",G
46,24,Reef,0.778,'<= -0.385,'<= 0.216,'<= -0.021,"A, C, E, F, H, I, J, K, L","B, D, G"
46,25,Reef,0.76,'<= 1.839,'> 0.523,'> -0.171,Any,None
46,26,Reef,0.742,'> 1.839,"",'0.128 < x <= 0.133,"A, B, C, D, E, F, G, H, J, K, L",I
46,27,Reef,0.733,'1.839 < x <= 3.052,'> -0.059,'<= -0.224,Any,None
46,28,Reef,0.728,'<= -0.385,'> 0.038,"","A, C, E, F, H, I, J, K, L","B, D, G"
46,29,Reef,0.725,'<= -0.449,"",'-0.021 < x <= 0.205,"C, F, H, I, J","A, B, D, E, G, K, L"
46,30,Reef,0.725,'<= 1.839,'> 0.334,"",D,"A, B, C, E, F, G, H, I, J, K, L"
46,31,Reef,0.724,'<= 1.839,'> -1.431,'> -0.171,H,"A, B, C, D, E, F, G, I, J, K, L"
46,32,Reef,0.71,'-0.385 < x <= 1.675,'> -1.15,"",E,"A, B, C, D, F, G, H, I, J, K, L"
46,33,Reef,0.7,"",'<= -1.668,'> -0.171,"A, B, C, D, E, F, G, I, J, K, L",H
46,34,Reef,0.6849999999999999,'<= -0.449,"","",K,"A, B, C, D, E, F, G, H, I, J, L"
